gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d0W1, d0W0.367879, d0W0.374494, d0W1, d0W0.374494, d0W0.367879, d1W1, d1W0.367879, d1W0.374494, d1W1, d1W0.374494, d1W0.367879, d2W1, d2W0.367879, d2W0.374494, d2W1, d2W0.374494, d2W0.367879, d3W1, d3W0.367879, d3W0.374494, d3W1, d3W0.374494, d3W0.367879, d4W1, d4W0.367879, d4W0.374494, d4W1, d4W0.374494, d4W0.367879, d5W1, d5W0.367879, d5W0.374494, d5W1, d5W0.374494, d5W0.367879, d6W1, d6W0.367879, d6W0.374494, d6W1, d6W0.374494, d6W0.367879, d7W1, d7W0.367879, d7W0.374494, d7W1, d7W0.374494, d7W0.367879, 
560, 1,1,0.995,0.8975,0.155,0.005,0,0,1,1,0.9925,0.8875,0.1575,0.0075,0,0,200,0,0,200,0,0,200,0,0,200,0,0,198,0,2,198,2,0,173,14,13,173,13,14,153,37,10,153,10,37,197,1,2,197,2,1,200,0,0,200,0,0,200,0,0,200,0,0,
570, 1,1,1,0.9075,0.1275,0.005,0,0,1,1,1,0.8975,0.1275,0.0025,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,162,23,15,162,15,23,168,15,17,168,17,15,199,0,1,199,1,0,200,0,0,200,0,0,200,0,0,200,0,0,
580, 1,1,0.985,0.8925,0.1075,0,0,0,1,1,0.99,0.8875,0.1225,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,194,1,5,194,5,1,166,21,13,166,13,21,181,11,8,181,8,11,194,1,5,194,5,1,200,0,0,200,0,0,200,0,0,200,0,0,
590, 1,1,0.9975,0.9075,0.095,0.0125,0,0,1,1,0.9975,0.91,0.1075,0.015,0,0,200,0,0,200,0,0,200,0,0,200,0,0,197,0,3,197,3,0,162,16,22,162,22,16,167,15,18,167,18,15,197,2,1,197,1,2,200,0,0,200,0,0,200,0,0,200,0,0,
600, 1,1,0.9925,0.8625,0.1325,0.0075,0.0025,0,1,1,0.99,0.8575,0.13,0.0075,0,0,200,0,0,200,0,0,200,0,0,200,0,0,198,0,2,198,2,0,160,25,15,160,15,25,154,29,17,154,17,29,195,3,2,195,2,3,198,0,2,198,2,0,200,0,0,200,0,0,
610, 1,1,0.99,0.87,0.135,0.0025,0,0,1,1,0.9925,0.88,0.125,0.0025,0,0.005,200,0,0,200,0,0,200,0,0,200,0,0,197,2,1,197,1,2,166,23,11,166,11,23,148,36,16,148,16,36,193,3,4,193,4,3,199,0,1,199,1,0,199,0,1,199,1,0,
620, 1,1,0.9975,0.925,0.13,0.0025,0,0,1,1,0.9975,0.9325,0.13,0.0075,0,0,200,0,0,200,0,0,200,0,0,200,0,0,196,2,2,196,2,2,173,18,9,173,9,18,170,13,17,170,17,13,194,3,3,194,3,3,200,0,0,200,0,0,200,0,0,200,0,0,
630, 1,1,1,0.8975,0.13,0.005,0,0,1,1,0.9975,0.895,0.1375,0.005,0,0,200,0,0,200,0,0,200,0,0,200,0,0,197,1,2,197,2,1,165,22,13,165,13,22,162,21,17,162,17,21,197,1,2,197,2,1,200,0,0,200,0,0,200,0,0,200,0,0,
640, 1,1,0.9825,0.865,0.1075,0.0075,0,0,1,1,0.9925,0.8775,0.095,0.01,0,0,200,0,0,200,0,0,200,0,0,200,0,0,195,4,1,195,1,4,164,26,10,164,10,26,165,21,14,165,14,21,194,6,0,194,0,6,200,0,0,200,0,0,200,0,0,200,0,0,
650, 1,1,0.9925,0.895,0.145,0.015,0,0,1,1,0.995,0.875,0.1475,0.0125,0,0,200,0,0,200,0,0,200,0,0,200,0,0,197,3,0,197,0,3,160,25,15,160,15,25,168,14,18,168,18,14,196,3,1,196,1,3,200,0,0,200,0,0,200,0,0,200,0,0,
660, 1,1,0.9975,0.8675,0.1175,0.0025,0,0,1,1,0.9975,0.8725,0.115,0.005,0,0,200,0,0,200,0,0,200,0,0,200,0,0,197,2,1,197,1,2,163,25,12,163,12,25,172,17,11,172,11,17,198,0,2,198,2,0,200,0,0,200,0,0,200,0,0,200,0,0,
670, 1,1,0.9975,0.91,0.165,0.0025,0,0,1,1,0.9975,0.915,0.1725,0.005,0.0025,0,200,0,0,200,0,0,200,0,0,200,0,0,199,1,0,199,0,1,160,26,14,160,14,26,156,33,11,156,11,33,194,2,4,194,4,2,200,0,0,200,0,0,200,0,0,200,0,0,
680, 1,1,0.9975,0.805,0.1175,0.01,0,0,1,1,0.9975,0.795,0.115,0.01,0,0,200,0,0,200,0,0,200,0,0,200,0,0,199,0,1,199,1,0,161,26,13,161,13,26,171,13,16,171,16,13,196,0,4,196,4,0,199,0,1,199,1,0,200,0,0,200,0,0,
690, 1,1,0.9925,0.8675,0.145,0.01,0,0,1,1,0.9925,0.8525,0.125,0.01,0.0025,0,200,0,0,200,0,0,200,0,0,200,0,0,192,5,3,192,3,5,164,21,15,164,15,21,162,23,15,162,15,23,194,5,1,194,1,5,198,1,1,198,1,1,200,0,0,200,0,0,
700, 1,1,0.9975,0.8825,0.12,0.0125,0,0,1,1,0.9975,0.8775,0.115,0.01,0,0,200,0,0,200,0,0,200,0,0,200,0,0,198,1,1,198,1,1,180,13,7,180,7,13,153,31,16,153,16,31,195,4,1,195,1,4,200,0,0,200,0,0,200,0,0,200,0,0,
710, 1,0.9975,0.9925,0.86,0.105,0.005,0,0,1,1,0.9925,0.87,0.1,0.01,0,0,200,0,0,200,0,0,200,0,0,200,0,0,190,8,2,190,2,8,167,19,14,167,14,19,169,24,7,169,7,24,196,2,2,196,2,2,200,0,0,200,0,0,200,0,0,200,0,0,
720, 1,1,0.9925,0.89,0.12,0.005,0,0,1,0.9975,0.995,0.87,0.1225,0,0,0,200,0,0,200,0,0,199,1,0,199,0,1,196,2,2,196,2,2,164,17,19,164,19,17,174,20,6,174,6,20,197,1,2,197,2,1,200,0,0,200,0,0,200,0,0,200,0,0,
730, 1,1,0.9975,0.9125,0.0875,0.0075,0,0,1,1,0.9975,0.9275,0.095,0.005,0,0,200,0,0,200,0,0,200,0,0,200,0,0,198,2,0,198,0,2,175,20,5,175,5,20,157,24,19,157,19,24,194,1,5,194,5,1,200,0,0,200,0,0,200,0,0,200,0,0,
740, 1,0.9975,0.9775,0.8625,0.1,0,0,0,1,1,0.9775,0.865,0.105,0,0.0025,0,200,0,0,200,0,0,200,0,0,200,0,0,194,2,4,194,4,2,158,25,17,158,17,25,165,21,14,165,14,21,197,0,3,197,3,0,200,0,0,200,0,0,200,0,0,200,0,0,
750, 1,1,0.99,0.8725,0.115,0.005,0,0,1,1,0.995,0.865,0.1125,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,197,1,2,197,2,1,172,10,18,172,18,10,178,15,7,178,7,15,196,1,3,196,3,1,200,0,0,200,0,0,200,0,0,200,0,0,
760, 1,1,0.995,0.95,0.115,0.005,0,0,1,1,1,0.9475,0.1125,0.0125,0,0,200,0,0,200,0,0,200,0,0,200,0,0,197,2,1,197,1,2,163,29,8,163,8,29,160,29,11,160,11,29,192,2,6,192,6,2,200,0,0,200,0,0,200,0,0,200,0,0,
770, 1,1,0.99,0.93,0.11,0.0075,0,0,1,1,0.995,0.925,0.1075,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,197,0,3,197,3,0,177,13,10,177,10,13,161,24,15,161,15,24,198,1,1,198,1,1,200,0,0,200,0,0,200,0,0,200,0,0,
780, 1,1,0.9975,0.88,0.165,0.01,0,0,1,1,0.9975,0.875,0.155,0.0075,0,0,200,0,0,200,0,0,200,0,0,200,0,0,196,0,4,196,4,0,160,18,22,160,22,18,153,30,17,153,17,30,198,1,1,198,1,1,200,0,0,200,0,0,200,0,0,200,0,0,
790, 1,1,1,0.8875,0.145,0.0025,0,0,1,1,0.9975,0.8825,0.1425,0.005,0,0,200,0,0,200,0,0,200,0,0,200,0,0,198,1,1,198,1,1,178,12,10,178,10,12,168,22,10,168,10,22,199,1,0,199,0,1,200,0,0,200,0,0,200,0,0,200,0,0,
