gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d0W1, d0W0.449329, d0W0.45578, d0W1, d0W0.45578, d0W0.449329, d1W1, d1W0.449329, d1W0.45578, d1W1, d1W0.45578, d1W0.449329, d2W1, d2W0.449329, d2W0.45578, d2W1, d2W0.45578, d2W0.449329, d3W1, d3W0.449329, d3W0.45578, d3W1, d3W0.45578, d3W0.449329, d4W1, d4W0.449329, d4W0.45578, d4W1, d4W0.45578, d4W0.449329, d5W1, d5W0.449329, d5W0.45578, d5W1, d5W0.45578, d5W0.449329, d6W1, d6W0.449329, d6W0.45578, d6W1, d6W0.45578, d6W0.449329, d7W1, d7W0.449329, d7W0.45578, d7W1, d7W0.45578, d7W0.449329, 
410, 1,1,0.9775,0.865,0.12,0.015,0,0,1,1,0.995,0.87,0.1325,0.005,0.0025,0,200,0,0,200,0,0,200,0,0,200,0,0,192,3,5,192,5,3,161,17,22,161,22,17,172,10,18,172,18,10,196,0,4,196,4,0,199,0,1,199,1,0,200,0,0,200,0,0,
420, 1,1,0.995,0.8825,0.115,0.0125,0,0,1,0.9975,0.995,0.875,0.1275,0.0075,0,0,200,0,0,200,0,0,198,0,2,198,2,0,194,3,3,194,3,3,157,24,19,157,19,24,165,19,16,165,16,19,199,1,0,199,0,1,200,0,0,200,0,0,200,0,0,200,0,0,
430, 1,1,0.99,0.85,0.0875,0.0025,0.0025,0,1,1,0.99,0.8425,0.085,0.0025,0,0,200,0,0,200,0,0,200,0,0,200,0,0,198,1,1,198,1,1,157,24,19,157,19,24,184,8,8,184,8,8,198,0,2,198,2,0,200,0,0,200,0,0,200,0,0,200,0,0,
440, 1,1,0.9975,0.9025,0.1625,0.005,0,0,1,1,0.99,0.925,0.1475,0.005,0,0,200,0,0,200,0,0,200,0,0,200,0,0,195,0,5,195,5,0,159,28,13,159,13,28,152,32,16,152,16,32,195,3,2,195,2,3,200,0,0,200,0,0,200,0,0,200,0,0,
450, 1,1,0.9925,0.895,0.095,0.0025,0,0,1,1,0.99,0.89,0.0925,0.005,0,0,200,0,0,200,0,0,200,0,0,200,0,0,192,2,6,192,6,2,149,26,25,149,25,26,155,25,20,155,20,25,199,0,1,199,1,0,200,0,0,200,0,0,200,0,0,200,0,0,
460, 1,1,0.99,0.82,0.13,0.0075,0,0,1,1,0.9925,0.8175,0.135,0.01,0,0,200,0,0,200,0,0,199,0,1,199,1,0,191,2,7,191,7,2,126,34,40,126,40,34,164,24,12,164,12,24,198,0,2,198,2,0,200,0,0,200,0,0,200,0,0,200,0,0,
470, 1,1,0.9875,0.865,0.19,0.0075,0,0,1,1,0.9875,0.8575,0.195,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,196,2,2,196,2,2,156,27,17,156,17,27,140,32,28,140,28,32,193,2,5,193,5,2,200,0,0,200,0,0,200,0,0,200,0,0,
480, 1,1,0.9825,0.8875,0.135,0.01,0,0,1,1,0.9775,0.8875,0.1425,0.0075,0.0025,0,200,0,0,200,0,0,200,0,0,200,0,0,196,2,2,196,2,2,161,26,13,161,13,26,138,34,28,138,28,34,190,4,6,190,6,4,200,0,0,200,0,0,200,0,0,200,0,0,
490, 1,1,0.9925,0.8975,0.1575,0.0075,0,0,1,1,0.995,0.8875,0.1375,0.0025,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,163,19,18,163,18,19,156,35,9,156,9,35,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
500, 1,1,1,0.8925,0.1125,0.005,0,0,1,1,0.9975,0.885,0.105,0.0025,0,0,200,0,0,200,0,0,200,0,0,200,0,0,197,0,3,197,3,0,164,21,15,164,15,21,157,25,18,157,18,25,197,2,1,197,1,2,200,0,0,200,0,0,199,0,1,199,1,0,
